CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9147 max-Emeasure || 0.8698 S-measure  || 0.8654 max-fm || 0.0702 mae || 0.8711 mean-Emeasure || 0.8261 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9524 max-Emeasure || 0.9130 S-measure  || 0.9229 max-fm || 0.0539 mae || 0.9214 mean-Emeasure || 0.8830 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8128 max-Emeasure || 0.7674 S-measure  || 0.6498 max-fm || 0.0695 mae || 0.7557 mean-Emeasure || 0.5960 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7900 max-Emeasure || 0.7509 S-measure  || 0.6158 max-fm || 0.0779 mae || 0.7313 mean-Emeasure || 0.5713 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9459 max-Emeasure || 0.9116 S-measure  || 0.9168 max-fm || 0.0498 mae || 0.9276 mean-Emeasure || 0.8897 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9192 max-Emeasure || 0.8757 S-measure  || 0.8699 max-fm || 0.0627 mae || 0.8835 mean-Emeasure || 0.8409 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9154 max-Emeasure || 0.8745 S-measure  || 0.8667 max-fm || 0.0657 mae || 0.8805 mean-Emeasure || 0.8353 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9429 max-Emeasure || 0.9080 S-measure  || 0.9093 max-fm || 0.0533 mae || 0.9234 mean-Emeasure || 0.8831 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8063 max-Emeasure || 0.7592 S-measure  || 0.6354 max-fm || 0.0704 mae || 0.7402 mean-Emeasure || 0.5776 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8214 max-Emeasure || 0.7765 S-measure  || 0.6528 max-fm || 0.0629 mae || 0.7717 mean-Emeasure || 0.6098 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9492 max-Emeasure || 0.9135 S-measure  || 0.9182 max-fm || 0.0510 mae || 0.9270 mean-Emeasure || 0.8889 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9129 max-Emeasure || 0.8653 S-measure  || 0.8592 max-fm || 0.0693 mae || 0.8640 mean-Emeasure || 0.8221 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9169 max-Emeasure || 0.8762 S-measure  || 0.8696 max-fm || 0.0636 mae || 0.8822 mean-Emeasure || 0.8357 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9448 max-Emeasure || 0.9084 S-measure  || 0.9144 max-fm || 0.0545 mae || 0.9213 mean-Emeasure || 0.8806 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7884 max-Emeasure || 0.7366 S-measure  || 0.6094 max-fm || 0.0861 mae || 0.7177 mean-Emeasure || 0.5502 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8211 max-Emeasure || 0.7629 S-measure  || 0.6190 max-fm || 0.0657 mae || 0.7552 mean-Emeasure || 0.5793 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9481 max-Emeasure || 0.9154 S-measure  || 0.9179 max-fm || 0.0495 mae || 0.9274 mean-Emeasure || 0.8907 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9159 max-Emeasure || 0.8736 S-measure  || 0.8642 max-fm || 0.0672 mae || 0.8762 mean-Emeasure || 0.8325 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9231 max-Emeasure || 0.8800 S-measure  || 0.8764 max-fm || 0.0622 mae || 0.8883 mean-Emeasure || 0.8451 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9435 max-Emeasure || 0.9120 S-measure  || 0.9152 max-fm || 0.0526 mae || 0.9242 mean-Emeasure || 0.8888 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7812 max-Emeasure || 0.7485 S-measure  || 0.6073 max-fm || 0.0829 mae || 0.7255 mean-Emeasure || 0.5692 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7724 max-Emeasure || 0.7541 S-measure  || 0.6187 max-fm || 0.0826 mae || 0.7345 mean-Emeasure || 0.5795 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8009 max-Emeasure || 0.7583 S-measure  || 0.6258 max-fm || 0.0735 mae || 0.7387 mean-Emeasure || 0.5782 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9479 max-Emeasure || 0.9081 S-measure  || 0.9148 max-fm || 0.0552 mae || 0.9196 mean-Emeasure || 0.8782 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9171 max-Emeasure || 0.8766 S-measure  || 0.8667 max-fm || 0.0659 mae || 0.8788 mean-Emeasure || 0.8317 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9191 max-Emeasure || 0.8726 S-measure  || 0.8704 max-fm || 0.0628 mae || 0.8815 mean-Emeasure || 0.8424 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9343 max-Emeasure || 0.9057 S-measure  || 0.9059 max-fm || 0.0553 mae || 0.9180 mean-Emeasure || 0.8828 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8008 max-Emeasure || 0.7824 S-measure  || 0.6534 max-fm || 0.0545 mae || 0.7621 mean-Emeasure || 0.6099 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7859 max-Emeasure || 0.7524 S-measure  || 0.6021 max-fm || 0.0765 mae || 0.7343 mean-Emeasure || 0.5647 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8046 max-Emeasure || 0.7507 S-measure  || 0.6202 max-fm || 0.0762 mae || 0.7291 mean-Emeasure || 0.5632 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9428 max-Emeasure || 0.9096 S-measure  || 0.9160 max-fm || 0.0531 mae || 0.9238 mean-Emeasure || 0.8866 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9170 max-Emeasure || 0.8772 S-measure  || 0.8727 max-fm || 0.0633 mae || 0.8841 mean-Emeasure || 0.8417 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9092 max-Emeasure || 0.8673 S-measure  || 0.8549 max-fm || 0.0652 mae || 0.8778 mean-Emeasure || 0.8295 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9466 max-Emeasure || 0.9119 S-measure  || 0.9168 max-fm || 0.0494 mae || 0.9297 mean-Emeasure || 0.8913 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7949 max-Emeasure || 0.7717 S-measure  || 0.6282 max-fm || 0.0632 mae || 0.7592 mean-Emeasure || 0.5966 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7904 max-Emeasure || 0.7470 S-measure  || 0.6115 max-fm || 0.0812 mae || 0.7305 mean-Emeasure || 0.5621 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9419 max-Emeasure || 0.9064 S-measure  || 0.9127 max-fm || 0.0561 mae || 0.9184 mean-Emeasure || 0.8785 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9450 max-Emeasure || 0.9115 S-measure  || 0.9147 max-fm || 0.0520 mae || 0.9235 mean-Emeasure || 0.8848 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9127 max-Emeasure || 0.8686 S-measure  || 0.8609 max-fm || 0.0687 mae || 0.8704 mean-Emeasure || 0.8241 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8255 max-Emeasure || 0.7674 S-measure  || 0.6457 max-fm || 0.0662 mae || 0.7612 mean-Emeasure || 0.6010 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9101 max-Emeasure || 0.8699 S-measure  || 0.8609 max-fm || 0.0659 mae || 0.8778 mean-Emeasure || 0.8324 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9459 max-Emeasure || 0.9136 S-measure  || 0.9205 max-fm || 0.0505 mae || 0.9268 mean-Emeasure || 0.8898 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7969 max-Emeasure || 0.7651 S-measure  || 0.6334 max-fm || 0.0749 mae || 0.7499 mean-Emeasure || 0.5958 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8165 max-Emeasure || 0.7769 S-measure  || 0.6609 max-fm || 0.0666 mae || 0.7715 mean-Emeasure || 0.6151 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9378 max-Emeasure || 0.9059 S-measure  || 0.9059 max-fm || 0.0589 mae || 0.9131 mean-Emeasure || 0.8731 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9133 max-Emeasure || 0.8704 S-measure  || 0.8622 max-fm || 0.0695 mae || 0.8703 mean-Emeasure || 0.8227 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9158 max-Emeasure || 0.8722 S-measure  || 0.8664 max-fm || 0.0655 mae || 0.8823 mean-Emeasure || 0.8384 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9440 max-Emeasure || 0.9114 S-measure  || 0.9115 max-fm || 0.0494 mae || 0.9278 mean-Emeasure || 0.8889 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8112 max-Emeasure || 0.7543 S-measure  || 0.6160 max-fm || 0.0743 mae || 0.7459 mean-Emeasure || 0.5766 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8319 max-Emeasure || 0.8023 S-measure  || 0.6724 max-fm || 0.0503 mae || 0.7907 mean-Emeasure || 0.6366 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9436 max-Emeasure || 0.9106 S-measure  || 0.9106 max-fm || 0.0523 mae || 0.9205 mean-Emeasure || 0.8849 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9171 max-Emeasure || 0.8655 S-measure  || 0.8623 max-fm || 0.0673 mae || 0.8652 mean-Emeasure || 0.8239 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9134 max-Emeasure || 0.8715 S-measure  || 0.8619 max-fm || 0.0632 mae || 0.8807 mean-Emeasure || 0.8386 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9450 max-Emeasure || 0.9098 S-measure  || 0.9161 max-fm || 0.0504 mae || 0.9270 mean-Emeasure || 0.8870 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8081 max-Emeasure || 0.7650 S-measure  || 0.6234 max-fm || 0.0668 mae || 0.7626 mean-Emeasure || 0.5948 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8129 max-Emeasure || 0.7721 S-measure  || 0.6556 max-fm || 0.0646 mae || 0.7561 mean-Emeasure || 0.6020 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9443 max-Emeasure || 0.9110 S-measure  || 0.9141 max-fm || 0.0527 mae || 0.9240 mean-Emeasure || 0.8861 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9204 max-Emeasure || 0.8790 S-measure  || 0.8740 max-fm || 0.0626 mae || 0.8827 mean-Emeasure || 0.8398 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9423 max-Emeasure || 0.9071 S-measure  || 0.9135 max-fm || 0.0551 mae || 0.9214 mean-Emeasure || 0.8812 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7932 max-Emeasure || 0.7538 S-measure  || 0.6165 max-fm || 0.0778 mae || 0.7494 mean-Emeasure || 0.5808 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9046 max-Emeasure || 0.8684 S-measure  || 0.8560 max-fm || 0.0663 mae || 0.8713 mean-Emeasure || 0.8258 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8147 max-Emeasure || 0.7507 S-measure  || 0.6361 max-fm || 0.0750 mae || 0.7391 mean-Emeasure || 0.5715 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9362 max-Emeasure || 0.8951 S-measure  || 0.8948 max-fm || 0.0700 mae || 0.8811 mean-Emeasure || 0.8429 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9464 max-Emeasure || 0.9108 S-measure  || 0.9147 max-fm || 0.0533 mae || 0.9217 mean-Emeasure || 0.8848 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8077 max-Emeasure || 0.7671 S-measure  || 0.6433 max-fm || 0.0692 mae || 0.7572 mean-Emeasure || 0.5982 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9116 max-Emeasure || 0.8667 S-measure  || 0.8573 max-fm || 0.0685 mae || 0.8672 mean-Emeasure || 0.8233 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9126 max-Emeasure || 0.8694 S-measure  || 0.8622 max-fm || 0.0694 mae || 0.8660 mean-Emeasure || 0.8189 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9219 max-Emeasure || 0.8785 S-measure  || 0.8739 max-fm || 0.0644 mae || 0.8842 mean-Emeasure || 0.8402 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9515 max-Emeasure || 0.9164 S-measure  || 0.9237 max-fm || 0.0487 mae || 0.9310 mean-Emeasure || 0.8922 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8083 max-Emeasure || 0.7681 S-measure  || 0.6546 max-fm || 0.0688 mae || 0.7635 mean-Emeasure || 0.6070 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8177 max-Emeasure || 0.7846 S-measure  || 0.6694 max-fm || 0.0633 mae || 0.7747 mean-Emeasure || 0.6290 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9461 max-Emeasure || 0.9115 S-measure  || 0.9211 max-fm || 0.0509 mae || 0.9279 mean-Emeasure || 0.8916 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9100 max-Emeasure || 0.8698 S-measure  || 0.8602 max-fm || 0.0659 mae || 0.8777 mean-Emeasure || 0.8328 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9025 max-Emeasure || 0.8644 S-measure  || 0.8508 max-fm || 0.0668 mae || 0.8721 mean-Emeasure || 0.8276 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9169 max-Emeasure || 0.8742 S-measure  || 0.8678 max-fm || 0.0658 mae || 0.8780 mean-Emeasure || 0.8332 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9474 max-Emeasure || 0.9119 S-measure  || 0.9199 max-fm || 0.0520 mae || 0.9259 mean-Emeasure || 0.8885 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8143 max-Emeasure || 0.7663 S-measure  || 0.6479 max-fm || 0.0728 mae || 0.7581 mean-Emeasure || 0.6019 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8101 max-Emeasure || 0.7727 S-measure  || 0.6549 max-fm || 0.0655 mae || 0.7594 mean-Emeasure || 0.6056 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9468 max-Emeasure || 0.9110 S-measure  || 0.9188 max-fm || 0.0522 mae || 0.9256 mean-Emeasure || 0.8888 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9188 max-Emeasure || 0.8761 S-measure  || 0.8669 max-fm || 0.0620 mae || 0.8827 mean-Emeasure || 0.8377 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9134 max-Emeasure || 0.8703 S-measure  || 0.8627 max-fm || 0.0647 mae || 0.8786 mean-Emeasure || 0.8377 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9447 max-Emeasure || 0.9125 S-measure  || 0.9186 max-fm || 0.0490 mae || 0.9291 mean-Emeasure || 0.8941 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8061 max-Emeasure || 0.7746 S-measure  || 0.6471 max-fm || 0.0664 mae || 0.7646 mean-Emeasure || 0.6166 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7867 max-Emeasure || 0.7472 S-measure  || 0.6099 max-fm || 0.0814 mae || 0.7312 mean-Emeasure || 0.5733 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9464 max-Emeasure || 0.9142 S-measure  || 0.9186 max-fm || 0.0475 mae || 0.9322 mean-Emeasure || 0.8964 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9180 max-Emeasure || 0.8763 S-measure  || 0.8709 max-fm || 0.0602 mae || 0.8872 mean-Emeasure || 0.8464 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9216 max-Emeasure || 0.8906 S-measure  || 0.8850 max-fm || 0.0655 mae || 0.8970 mean-Emeasure || 0.8548 mean-fm. # EPOCH 100 STUDENT- B1
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8088 max-Emeasure || 0.7534 S-measure  || 0.6310 max-fm || 0.0759 mae || 0.7489 mean-Emeasure || 0.5819 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8978 max-Emeasure || 0.8553 S-measure  || 0.8436 max-fm || 0.0761 mae || 0.8527 mean-Emeasure || 0.8040 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9092 max-Emeasure || 0.8675 S-measure  || 0.8583 max-fm || 0.0669 mae || 0.8753 mean-Emeasure || 0.8279 mean-fm.  # EPOCH 150 STUDENT -B1 -BEST
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9431 max-Emeasure || 0.9073 S-measure  || 0.9132 max-fm || 0.0549 mae || 0.9222 mean-Emeasure || 0.8830 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7972 max-Emeasure || 0.7528 S-measure  || 0.6281 max-fm || 0.0780 mae || 0.7435 mean-Emeasure || 0.5804 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8165 max-Emeasure || 0.7750 S-measure  || 0.6454 max-fm || 0.0625 mae || 0.7744 mean-Emeasure || 0.6080 mean-fm. # 126
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9410 max-Emeasure || 0.9082 S-measure  || 0.9113 max-fm || 0.0528 mae || 0.9235 mean-Emeasure || 0.8855 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9012 max-Emeasure || 0.8550 S-measure  || 0.8457 max-fm || 0.0724 mae || 0.8592 mean-Emeasure || 0.8155 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8997 max-Emeasure || 0.8496 S-measure  || 0.8384 max-fm || 0.0806 mae || 0.8481 mean-Emeasure || 0.7930 mean-fm. # EPOCH 80 STUDENT - B0 - BEST
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9082 max-Emeasure || 0.8772 S-measure  || 0.8691 max-fm || 0.0771 mae || 0.8798 mean-Emeasure || 0.8353 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8130 max-Emeasure || 0.7488 S-measure  || 0.6176 max-fm || 0.0707 mae || 0.7472 mean-Emeasure || 0.5641 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8035 max-Emeasure || 0.7632 S-measure  || 0.6339 max-fm || 0.0696 mae || 0.7556 mean-Emeasure || 0.5916 mean-fm. # EPOCH 300 STUDENT -B0 - BEST
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9267 max-Emeasure || 0.8954 S-measure  || 0.8954 max-fm || 0.0638 mae || 0.9038 mean-Emeasure || 0.8666 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8965 max-Emeasure || 0.8517 S-measure  || 0.8412 max-fm || 0.0776 mae || 0.8540 mean-Emeasure || 0.8053 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9043 max-Emeasure || 0.8612 S-measure  || 0.8484 max-fm || 0.0740 mae || 0.8655 mean-Emeasure || 0.8120 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9123 max-Emeasure || 0.8780 S-measure  || 0.8753 max-fm || 0.0746 mae || 0.8865 mean-Emeasure || 0.8393 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8159 max-Emeasure || 0.7494 S-measure  || 0.6176 max-fm || 0.0755 mae || 0.7195 mean-Emeasure || 0.5568 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8088 max-Emeasure || 0.7534 S-measure  || 0.6310 max-fm || 0.0759 mae || 0.7489 mean-Emeasure || 0.5819 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7972 max-Emeasure || 0.7528 S-measure  || 0.6281 max-fm || 0.0780 mae || 0.7435 mean-Emeasure || 0.5804 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8165 max-Emeasure || 0.7750 S-measure  || 0.6454 max-fm || 0.0625 mae || 0.7744 mean-Emeasure || 0.6080 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8138 max-Emeasure || 0.7583 S-measure  || 0.6364 max-fm || 0.0745 mae || 0.7538 mean-Emeasure || 0.5858 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8076 max-Emeasure || 0.7533 S-measure  || 0.6460 max-fm || 0.0816 mae || 0.7460 mean-Emeasure || 0.5863 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8216 max-Emeasure || 0.7678 S-measure  || 0.6443 max-fm || 0.0685 mae || 0.7627 mean-Emeasure || 0.5958 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9230 max-Emeasure || 0.8962 S-measure  || 0.8877 max-fm || 0.0654 mae || 0.8952 mean-Emeasure || 0.8542 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9008 max-Emeasure || 0.8563 S-measure  || 0.8402 max-fm || 0.0771 mae || 0.8523 mean-Emeasure || 0.8032 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.3550 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9042 max-Emeasure || 0.8639 S-measure  || 0.8518 max-fm || 0.0691 mae || 0.8676 mean-Emeasure || 0.8214 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9207 max-Emeasure || 0.8900 S-measure  || 0.8886 max-fm || 0.0634 mae || 0.9021 mean-Emeasure || 0.8627 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8218 max-Emeasure || 0.7703 S-measure  || 0.6570 max-fm || 0.0667 mae || 0.7661 mean-Emeasure || 0.6057 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7930 max-Emeasure || 0.7427 S-measure  || 0.6108 max-fm || 0.0834 mae || 0.7321 mean-Emeasure || 0.5631 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8088 max-Emeasure || 0.7534 S-measure  || 0.6310 max-fm || 0.0759 mae || 0.7489 mean-Emeasure || 0.5819 mean-fm. # studnet b1  B1_0206/best_ep55_Smeasure0.8479.pth
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9216 max-Emeasure || 0.8906 S-measure  || 0.8850 max-fm || 0.0655 mae || 0.8970 mean-Emeasure || 0.8548 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8978 max-Emeasure || 0.8553 S-measure  || 0.8436 max-fm || 0.0761 mae || 0.8527 mean-Emeasure || 0.8040 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8965 max-Emeasure || 0.8517 S-measure  || 0.8412 max-fm || 0.0776 mae || 0.8540 mean-Emeasure || 0.8053 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9267 max-Emeasure || 0.8954 S-measure  || 0.8954 max-fm || 0.0638 mae || 0.9038 mean-Emeasure || 0.8666 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9082 max-Emeasure || 0.8772 S-measure  || 0.8691 max-fm || 0.0771 mae || 0.8798 mean-Emeasure || 0.8353 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8130 max-Emeasure || 0.7488 S-measure  || 0.6176 max-fm || 0.0707 mae || 0.7472 mean-Emeasure || 0.5641 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7885 max-Emeasure || 0.7358 S-measure  || 0.6136 max-fm || 0.0883 mae || 0.7272 mean-Emeasure || 0.5603 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9329 max-Emeasure || 0.8934 S-measure  || 0.8922 max-fm || 0.0675 mae || 0.8969 mean-Emeasure || 0.8567 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9172 max-Emeasure || 0.8851 S-measure  || 0.8846 max-fm || 0.0704 mae || 0.8905 mean-Emeasure || 0.8524 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7928 max-Emeasure || 0.7458 S-measure  || 0.6207 max-fm || 0.0786 mae || 0.7296 mean-Emeasure || 0.5651 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8999 max-Emeasure || 0.8504 S-measure  || 0.8377 max-fm || 0.0780 mae || 0.8533 mean-Emeasure || 0.8009 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8974 max-Emeasure || 0.8482 S-measure  || 0.8361 max-fm || 0.0849 mae || 0.8385 mean-Emeasure || 0.7858 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9181 max-Emeasure || 0.8847 S-measure  || 0.8866 max-fm || 0.0744 mae || 0.8833 mean-Emeasure || 0.8470 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9221 max-Emeasure || 0.8854 S-measure  || 0.8845 max-fm || 0.0706 mae || 0.8926 mean-Emeasure || 0.8498 mean-fm. # student bo b0_0208/ep73.pth
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7947 max-Emeasure || 0.7409 S-measure  || 0.6113 max-fm || 0.0797 mae || 0.7285 mean-Emeasure || 0.5553 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8960 max-Emeasure || 0.8495 S-measure  || 0.8384 max-fm || 0.0799 mae || 0.8532 mean-Emeasure || 0.8012 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9464 max-Emeasure || 0.9118 S-measure  || 0.9183 max-fm || 0.0506 mae || 0.9281 mean-Emeasure || 0.8881 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7843 max-Emeasure || 0.7567 S-measure  || 0.6283 max-fm || 0.0769 mae || 0.7359 mean-Emeasure || 0.5810 mean-fm.
